_u1.date,_u1.ticker,_u1.cik,_u1.open,_u1.high,_u1.low,_u1.close,_u1.adj_close,_u1.volume
2021-01-04,YUM,0001041061,109.0199966430664,109.0199966430664,104.86000061035156,105.81999969482422,99.72776794433594,2058200
2021-01-05,YUM,0001041061,105.63999938964844,106.3499984741211,105.19999694824219,105.83000183105469,99.73719024658203,1475300
2021-01-06,YUM,0001041061,105.62999725341797,106.69999694824219,105.38999938964844,106.41000366210938,100.28380584716797,1352700
2021-01-07,YUM,0001041061,106.5,106.98999786376953,105.27999877929688,105.5999984741211,99.52044677734375,2222900
2021-01-08,YUM,0001041061,105.80999755859375,107.44999694824219,105.62000274658203,107.1500015258789,100.98119354248047,1252200
2021-01-11,YUM,0001041061,106.80000305175781,108.04000091552734,106.58999633789062,107.66999816894531,101.47126770019531,1329100
2021-01-12,YUM,0001041061,107.48999786376953,108.44999694824219,106.4800033569336,107.66999816894531,101.47126770019531,1182600
2021-01-13,YUM,0001041061,107.12000274658203,107.7300033569336,106.27999877929688,107.1500015258789,100.98119354248047,1538800
2021-01-14,YUM,0001041061,107.77999877929688,109.66000366210938,107.30999755859375,107.77999877929688,101.57492065429688,1497600
2021-01-15,YUM,0001041061,107.5199966430664,107.5199966430664,106.0,106.62000274658203,100.4817123413086,1163500
2021-01-19,YUM,0001041061,106.95999908447266,108.0,106.75,107.38999938964844,101.2073745727539,1748400
2021-01-20,YUM,0001041061,107.6500015258789,109.62999725341797,107.41999816894531,109.41000366210938,103.11109161376953,1543700
2021-01-21,YUM,0001041061,109.5,109.5,107.87000274658203,107.87999725341797,101.66918182373047,1199400
2021-01-22,YUM,0001041061,107.36000061035156,107.61000061035156,106.06999969482422,107.08999633789062,100.92465209960938,951400
2021-01-25,YUM,0001041061,106.29000091552734,106.37999725341797,104.26000213623047,105.26000213623047,99.20000457763672,1495200
2021-01-26,YUM,0001041061,105.6500015258789,107.2300033569336,103.93000030517578,106.33999633789062,100.21782684326172,1834400
2021-01-27,YUM,0001041061,105.54000091552734,105.66000366210938,101.79000091552734,102.0199966430664,96.14653778076172,1914700
2021-01-28,YUM,0001041061,102.25,104.19999694824219,102.08000183105469,102.52999877929688,96.62718200683594,1827300
2021-01-29,YUM,0001041061,102.08999633789062,103.23999786376953,101.18000030517578,101.48999786376953,95.64706420898438,1901300
2021-02-01,YUM,0001041061,102.23999786376953,103.70999908447266,101.63999938964844,103.05999755859375,97.12666320800781,1782200
2021-02-02,YUM,0001041061,104.30999755859375,106.91999816894531,103.63999938964844,106.30000305175781,100.18014526367188,1999800
2021-02-03,YUM,0001041061,105.79000091552734,106.1500015258789,104.7300033569336,104.7300033569336,98.70053100585938,1606800
2021-02-04,YUM,0001041061,105.44000244140625,105.87999725341797,102.8499984741211,102.98999786376953,97.0606918334961,2777000
2021-02-05,YUM,0001041061,103.3499984741211,105.88999938964844,103.3499984741211,105.33999633789062,99.27540588378906,2266100
2021-02-08,YUM,0001041061,104.81999969482422,105.11000061035156,102.79000091552734,103.36000061035156,97.4094009399414,1947000
2021-02-09,YUM,0001041061,103.41000366210938,103.95999908447266,102.25,103.12000274658203,97.18319702148438,1598500
2021-02-10,YUM,0001041061,103.77999877929688,105.33999633789062,102.98999786376953,104.81999969482422,98.78533935546875,2005200
2021-02-11,YUM,0001041061,104.75,105.9800033569336,104.26000213623047,105.4800033569336,99.88379669189453,1791200
2021-02-12,YUM,0001041061,105.44999694824219,105.9000015258789,104.52999877929688,105.47000122070312,99.87431335449219,1163800
2021-02-16,YUM,0001041061,105.66999816894531,106.18000030517578,104.97000122070312,105.5999984741211,99.9974365234375,1904300
2021-02-17,YUM,0001041061,104.73999786376953,105.43000030517578,103.94999694824219,104.33999633789062,98.80429077148438,2263200
2021-02-18,YUM,0001041061,103.93000030517578,105.88999938964844,103.93000030517578,105.37000274658203,99.7796401977539,1485600
2021-02-19,YUM,0001041061,105.52999877929688,106.05999755859375,104.93000030517578,105.12999725341797,99.55235290527344,1726800
2021-02-22,YUM,0001041061,104.41999816894531,105.54000091552734,103.76000213623047,105.01000213623047,99.43873596191406,2102700
2021-02-23,YUM,0001041061,105.5999984741211,106.7300033569336,103.94000244140625,104.6500015258789,99.09783935546875,1795800
2021-02-24,YUM,0001041061,104.56999969482422,105.06999969482422,103.70999908447266,104.68000030517578,99.12623596191406,1704200
2021-02-25,YUM,0001041061,104.6500015258789,105.0199966430664,103.87999725341797,104.69999694824219,99.14517974853516,1751800
2021-02-26,YUM,0001041061,105.22000122070312,105.27999877929688,103.20999908447266,103.52999877929688,98.0372543334961,2018900
2021-03-01,YUM,0001041061,104.01000213623047,105.86000061035156,103.97000122070312,104.51000213623047,98.96527099609375,1446300
2021-03-02,YUM,0001041061,104.2699966430664,105.48999786376953,103.72000122070312,104.73999786376953,99.18305969238281,2450800
2021-03-03,YUM,0001041061,104.7699966430664,105.16000366210938,103.4800033569336,103.51000213623047,98.01832580566406,1740700
2021-03-04,YUM,0001041061,103.69999694824219,104.3499984741211,101.95999908447266,103.56999969482422,98.07512664794922,1789200
2021-03-05,YUM,0001041061,103.80000305175781,104.80000305175781,101.94000244140625,104.33000183105469,98.7948226928711,1638000
2021-03-08,YUM,0001041061,104.5,105.44000244140625,104.08999633789062,104.13999938964844,98.6148910522461,2036900
2021-03-09,YUM,0001041061,104.4800033569336,104.77999877929688,102.6500015258789,102.68000030517578,97.23233795166016,2502600
2021-03-10,YUM,0001041061,103.19999694824219,105.20999908447266,102.80000305175781,104.61000061035156,99.05996704101562,1995500
2021-03-11,YUM,0001041061,105.08000183105469,105.77999877929688,104.4800033569336,104.62999725341797,99.07888793945312,1846100
2021-03-12,YUM,0001041061,104.93000030517578,105.41000366210938,104.11000061035156,104.80999755859375,99.24935150146484,1562800
2021-03-15,YUM,0001041061,105.23999786376953,108.01000213623047,105.12000274658203,107.98999786376953,102.2606430053711,1954900
2021-03-16,YUM,0001041061,108.0,109.13999938964844,107.62000274658203,108.80000305175781,103.02766418457031,2289500
2021-03-17,YUM,0001041061,108.80000305175781,111.68000030517578,108.26000213623047,111.0199966430664,105.12987518310547,2707800
2021-03-18,YUM,0001041061,110.80999755859375,110.97000122070312,108.2699966430664,108.30999755859375,102.56365203857422,1645400
2021-03-19,YUM,0001041061,108.4800033569336,109.52999877929688,107.56999969482422,107.95999908447266,102.23223114013672,3184200
2021-03-22,YUM,0001041061,107.77999877929688,108.9800033569336,107.62999725341797,108.75,102.98031616210938,1915800
2021-03-23,YUM,0001041061,107.95999908447266,108.37999725341797,107.44999694824219,108.0,102.27011108398438,1473900
2021-03-24,YUM,0001041061,108.0,108.83999633789062,107.08000183105469,107.08000183105469,101.3989028930664,1198900
2021-03-25,YUM,0001041061,107.08000183105469,107.5,106.01000213623047,107.37999725341797,101.68299102783203,1430400
2021-03-26,YUM,0001041061,107.94999694824219,108.13999938964844,106.29000091552734,108.05999755859375,102.326904296875,1391400
2021-03-29,YUM,0001041061,108.0,109.97000122070312,107.08000183105469,109.20999908447266,103.41590118408203,1717900
2021-03-30,YUM,0001041061,108.25,110.68000030517578,108.25,109.7699966430664,103.9461898803711,1694000
2021-03-31,YUM,0001041061,109.19999694824219,109.4800033569336,108.1500015258789,108.18000030517578,102.44056701660156,1604400
2021-04-01,YUM,0001041061,108.66999816894531,109.97000122070312,107.98999786376953,109.80000305175781,103.974609375,927800
2021-04-05,YUM,0001041061,110.06999969482422,111.29000091552734,109.94999694824219,110.63999938964844,104.7700424194336,1239200
2021-04-06,YUM,0001041061,111.4000015258789,114.69999694824219,111.27999877929688,114.08000183105469,108.02752685546875,2280000
2021-04-07,YUM,0001041061,113.76000213623047,114.63999938964844,113.58999633789062,114.05000305175781,107.99913024902344,1095600
2021-04-08,YUM,0001041061,113.77999877929688,114.66999816894531,113.4000015258789,114.66000366210938,108.5767593383789,1216200
2021-04-09,YUM,0001041061,114.77999877929688,114.97000122070312,113.5999984741211,114.95999908447266,108.86084747314453,1042100
2021-04-12,YUM,0001041061,115.0,116.55000305175781,114.98999786376953,116.41999816894531,110.2433853149414,1541900
2021-04-13,YUM,0001041061,116.47000122070312,117.98999786376953,116.12999725341797,117.44999694824219,111.21874237060547,1462000
2021-04-14,YUM,0001041061,117.52999877929688,118.83000183105469,117.43000030517578,118.16000366210938,111.89107513427734,1353400
2021-04-15,YUM,0001041061,118.47000122070312,118.97000122070312,117.25,117.61000061035156,111.3702392578125,1243800
2021-04-16,YUM,0001041061,118.63999938964844,118.63999938964844,117.72000122070312,118.05999755859375,111.79637145996094,1586500
2021-04-19,YUM,0001041061,118.37999725341797,118.70999908447266,117.1500015258789,117.70999908447266,111.4649429321289,768500
2021-04-20,YUM,0001041061,117.11000061035156,118.08000183105469,116.91999816894531,117.95999908447266,111.70169067382812,827500
2021-04-21,YUM,0001041061,117.76000213623047,118.2699966430664,117.16999816894531,117.44999694824219,111.21874237060547,846600
2021-04-22,YUM,0001041061,118.18000030517578,118.52999877929688,117.4800033569336,117.81999969482422,111.56910705566406,829600
2021-04-23,YUM,0001041061,117.7300033569336,118.19000244140625,117.33999633789062,117.72000122070312,111.47441864013672,1097600
2021-04-26,YUM,0001041061,117.94999694824219,117.94999694824219,115.36000061035156,115.68000030517578,109.54264831542969,2121100
2021-04-27,YUM,0001041061,116.04000091552734,116.5,115.80000305175781,116.41000366210938,110.2339096069336,1082000
2021-04-28,YUM,0001041061,115.91000366210938,118.69999694824219,115.5,117.56999969482422,111.33238220214844,1789700
2021-04-29,YUM,0001041061,118.0,119.2300033569336,117.73999786376953,118.91000366210938,112.60127258300781,2055800
2021-04-30,YUM,0001041061,118.91999816894531,119.91999816894531,118.36000061035156,119.5199966430664,113.17891693115234,1863900
2021-05-03,YUM,0001041061,120.0,120.68000030517578,119.93000030517578,119.9800033569336,113.61451721191406,1087200
2021-05-04,YUM,0001041061,119.91000366210938,120.70999908447266,119.13999938964844,119.37000274658203,113.0368881225586,1594300
2021-05-05,YUM,0001041061,119.5199966430664,121.38999938964844,119.05999755859375,121.08999633789062,114.66561889648438,1428400
2021-05-06,YUM,0001041061,121.8499984741211,122.41000366210938,120.56999969482422,121.29000091552734,114.85501098632812,1190200
2021-05-07,YUM,0001041061,121.2699966430664,122.37000274658203,121.0999984741211,121.2300033569336,114.7981948852539,1022400
2021-05-10,YUM,0001041061,121.56999969482422,122.7300033569336,121.29000091552734,121.91999816894531,115.45157623291016,1039200
2021-05-11,YUM,0001041061,122.11000061035156,122.11000061035156,118.30999755859375,119.1500015258789,112.82854461669922,2750100
2021-05-12,YUM,0001041061,118.77999877929688,119.11000061035156,116.91999816894531,117.1500015258789,110.93466186523438,1617100
2021-05-13,YUM,0001041061,117.27999877929688,118.77999877929688,117.27999877929688,118.08999633789062,111.82476806640625,1470800
2021-05-14,YUM,0001041061,118.37999725341797,119.70999908447266,118.3499984741211,119.2699966430664,112.94218444824219,1241900
2021-05-17,YUM,0001041061,119.33000183105469,119.48999786376953,117.76000213623047,118.6500015258789,112.35507202148438,1181600
2021-05-18,YUM,0001041061,118.97000122070312,120.05000305175781,118.91999816894531,119.29000091552734,112.96112060546875,1426300
2021-05-19,YUM,0001041061,118.2300033569336,119.05999755859375,117.38999938964844,118.70999908447266,112.4118881225586,1624400
2021-05-20,YUM,0001041061,118.81999969482422,120.2699966430664,118.70999908447266,119.94000244140625,113.5766372680664,1242200
2021-05-21,YUM,0001041061,120.25,120.55000305175781,119.47000122070312,119.70999908447266,113.35884094238281,2184700
2021-05-24,YUM,0001041061,120.16000366210938,121.5999984741211,119.9800033569336,120.5199966430664,114.1258544921875,1460300
2021-05-25,YUM,0001041061,121.0,121.29000091552734,120.36000061035156,120.5999984741211,114.20162963867188,1536200
